period,demand,DC_jobs,DC_idle_energy,DC_active_energy,DC_energy,DC_op_co2,DC_emb_co2,DC_idle_co2,SDC_jobs,SDC_idle_energy,SDC_active_energy,SDC_energy,SDC_op_co2,SDC_emb_co2,SDC_idle_co2,EDGE_ZONE1_jobs,EDGE_ZONE1_idle_energy,EDGE_ZONE1_active_energy,EDGE_ZONE1_energy,EDGE_ZONE1_op_co2,EDGE_ZONE1_emb_co2,EDGE_ZONE1_idle_co2,EDGE_ZONE2_jobs,EDGE_ZONE2_idle_energy,EDGE_ZONE2_active_energy,EDGE_ZONE2_energy,EDGE_ZONE2_op_co2,EDGE_ZONE2_emb_co2,EDGE_ZONE2_idle_co2,EDGE_ZONE3_jobs,EDGE_ZONE3_idle_energy,EDGE_ZONE3_active_energy,EDGE_ZONE3_energy,EDGE_ZONE3_op_co2,EDGE_ZONE3_emb_co2,EDGE_ZONE3_idle_co2,total_energy,total_co2
22,6095617.529880477,2246400.0,1.04,60.4032,61.4432,1.13256,0.41600000000000004,0.0195,2248560.0,12.492,262.332,274.824,26.2332,28.454,1.2492,749992.5,0.0,666.66,666.66,79.16587499999999,33.333,0.0,749992.5,0.0,666.66,666.66,11.399885999999997,33.333,0.0,100672.529880477,14.4293326693227,89.4866932270908,103.9160258964135,17.852595298804612,4.474334661354533,2.8786518675298787,0,239.94180282768903
23,5756972.111553784,2246400.0,1.04,60.4032,61.4432,1.11443904,0.41600000000000004,0.019188,2248560.0,12.492,262.332,274.824,25.8134688,28.454,1.2292128,512019.611553784,5.2882864099159,455.128543603364,460.4168300132799,53.18177032005308,22.756427180168178,0.6179362669986728,749992.5,0.0,666.66,666.66,12.033212999999998,33.333,0.0,0.0,16.6665,0.0,16.6665,0.0,0.0,3.2458008749999996,0,182.2144562822199
24,4063745.019920318,2246400.0,1.04,60.4032,61.4432,1.10537856,0.41600000000000004,0.019032,1817345.01992032,16.0854581673307,212.02358565737,228.1090438247007,20.693501960159313,22.997267227386768,1.5699407171314763,0.0,16.6665,0.0,16.6665,0.0,0.0,1.9316473499999998,0.0,16.6665,0.0,16.6665,0.0,0.0,0.30083032499999995,0.0,16.6665,0.0,16.6665,0.0,0.0,3.182468175,0,52.21606631467755
25,677290.8366533865,677290.836653386,3.94575770990114,18.2115980522355,22.157355762136643,0.33054050464807433,0.1254242290098863,0.07161550243470569,0.0,31.23,0.0,31.23,0.0,0.0,3.023064,0.0,16.6665,0.0,16.6665,0.0,0.0,1.9158141749999997,0.0,16.6665,0.0,16.6665,0.0,0.0,0.28499715,0.0,16.6665,0.0,16.6665,0.0,0.0,3.13496865,0,8.886424211092665
26,677290.8366533865,677290.836653386,3.94575770990114,18.2115980522355,22.157355762136643,0.32507702523240367,0.1254242290098863,0.07043177512173535,0.0,31.23,0.0,31.23,0.0,0.0,2.973096,0.0,16.6665,0.0,16.6665,0.0,0.0,1.8841478249999999,0.0,16.6665,0.0,16.6665,0.0,0.0,0.28499715,0.0,16.6665,0.0,16.6665,0.0,0.0,3.1191354749999998,0,8.782309479364024
27,677290.8366533865,677290.836653386,3.94575770990114,18.2115980522355,22.157355762136643,0.32780876494023903,0.1254242290098863,0.07102363877822052,0.0,31.23,0.0,31.23,0.0,0.0,2.9980800000000003,0.0,16.6665,0.0,16.6665,0.0,0.0,1.8999809999999997,0.0,16.6665,0.0,16.6665,0.0,0.0,0.28499715,0.0,16.6665,0.0,16.6665,0.0,0.0,3.1033022999999997,0,8.810617082728346
28,1015936.2549800795,1015936.25498008,3.3186365648517,27.3173970783532,30.6360336432049,0.49171314741035754,0.18813634351482963,0.0597354581673306,0.0,31.23,0.0,31.23,0.0,0.0,2.9980800000000003,0.0,16.6665,0.0,16.6665,0.0,0.0,1.8999809999999997,0.0,16.6665,0.0,16.6665,0.0,0.0,0.30083032499999995,0.0,16.6665,0.0,16.6665,0.0,0.0,3.150801825,0,9.089278099092517
29,1354581.673306773,1354581.67330677,2.69151541980227,36.423196104471,39.114711524273275,0.6774714475431607,0.2508484580197722,0.05006218680832222,0.0,31.23,0.0,31.23,0.0,0.0,3.0980160000000003,0.0,16.6665,0.0,16.6665,0.0,0.0,1.9633136999999998,0.0,16.6665,0.0,16.6665,0.0,0.0,0.3166635,0.0,16.6665,0.0,16.6665,0.0,0.0,3.2616340499999996,0,9.618009342371256
30,1693227.091633466,1693227.09163347,2.06439427475284,45.5289951305888,47.59338940534164,0.8809860557768933,0.3135605725247167,0.039946029216467456,0.0,31.23,0.0,31.23,0.0,0.0,3.2229360000000002,0.0,16.6665,0.0,16.6665,0.0,0.0,2.0424795749999998,0.0,16.6665,0.0,16.6665,0.0,0.0,0.3166635,0.0,16.6665,0.0,16.6665,0.0,0.0,3.4516321499999996,0,10.268203882518076
31,2709163.346613546,2246400.0,1.04,60.4032,61.4432,1.24128576,0.41600000000000004,0.021372000000000002,462763.346613546,27.3736387782205,53.9890571049137,81.3626958831342,5.917200658698542,5.855955929368947,3.000150810092967,0.0,16.6665,0.0,16.6665,0.0,0.0,2.169144975,0.0,16.6665,0.0,16.6665,0.0,0.0,0.332496675,0.0,16.6665,0.0,16.6665,0.0,0.0,3.70496295,0,22.658569758160457
